"sku","cost","Edmonton"
nyy4d5qoyn,4766,2
3wvlj6plxn,21981,10
83worry9ze,9162,4
3oor6dwz63,551,20
nm9bkd4ode,22723,1
eddykraxge,1828,16
ngo6zzzpze,6433,1
3l7vzgl5oe,7671,3
nvrx4mv2xe,382,3
nmqad2joj3,17429,4
edyxjx572e,1150,25
38m296wldn,3454,1
3xr5w62rp3,1238,2
rnqa8rp66e,5792,3
3wq7yg9az3,2370,50
3al9jbxw7n,12283,3
nq246akr6n,19768,41
ng8d4xwxa3,110497,18
nmkrkdlvx3,993,2
367mmzlm9e,2281,35
38kdjlgpp3,70430,10
nmrxryamxe,11704,12
j3jmd8jz93,6711,1
3zwyp4bj73,14219,2
38vyqywqjn,3254,29
3ww9kw9kb3,20954,2
37m9lvwvx3,3850,4
3lab8wvwye,4647,14
3oyg6k886e,11509,2
39gpvgm8ye,63773,1
nyk2o6pjg3,60769,3
3xvaod544e,4594,6
ng8k2x5zz3,4146,2
nbajxgdq9e,104,50
3jv679oz63,17933,5
3aqzzmrzde,8889,40
3zw8v7do63,964,25
34bdvzwope,10223,6
xer6pbzb9e,11681,4
3ozxpy2q9n,29487,1
ekzd6axw5e,562,2
3l2akly47n,33799,5
ngv2al8lpn,2386,2
nvkkrqp2j3,13900,8
38dv2yjldn,1051,4
3jlzz75xxn,302,20
38dvz75dpn,11817,4
nmo78pv9xe,4972,9
nvpwo72ojn,20200,2
ek7opbom53,7868,1
384w6vzypn,1197,3
xer8rzzr83,6682,22
34xp967zpn,6024,1
ek8rgq6mge,6921,1
3ay2zvrgb3,833,4
372oda4gwe,10994,1
3p9yp5q49n,104,22
nvpa7gx5qn,101411,7
38wd2qo5p3,8532,5
ekbdb6kj4e,41587,19
edpolo9z4e,5962,4
37bkglpkpe,49591,4
ngv4zxwqzn,28654,33
3l2a7wrlbn,13035,3
3zzjmp5d43,1183,6
3py97jyj83,8222,7
36vl4pry8e,3574,36
38vjylam4n,393,50
e5pol4r8o3,228,50
ekqr5pkgge,3323,1
edx8owlqz3,12525,4
3olldvk993,4160,4
3za695go7n,5290,5
nvqop9jp23,1633,13
2nyvgb69dn,8920,35
374yp7gjw3,9623,40
nyrd5zxrde,1202,7
o3ppldyz83,31404,1
ekq5zgm8de,2974,50
3ob8695g6n,2674,18
nboprd6jm3,31507,4
37x7gm8mwn,5554,8
e57k6y7g43,361,23
erdwgl7x7n,18732,15
3paqrlzpb3,3939,1
3826kg2gp3,4763,2
3o4jj525ge,3421,3
nvoklwa5je,156,19
3lbxzzgp7n,1219,4
nbyd7koq9e,10162,8
382jmpjmd3,68758,6
m39ggr4rye,12082,2
nqymaaqvoe,478,3
36pljkj6xe,5240,50
3xr2poqvl3,21993,1
edd628o22e,8260,8
pedjj275we,19432,3
edkaqd7w4n,8889,50
m3992y5qd3,6898,41
ed7vw7zr4e,2778,15
z375zpvowe,1557,2
3a72ddgv73,13333,22
er7zw6jo7n,50348,27
nq8qvxqqzn,74435,9
nb4x8zg29e,30348,29
3plwv77x9n,942,4
nqammwx6we,10171,2
ed8by7892n,2838,1
nmq8ygbpv3,901,13
3lrpjz9qz3,5852,29
34kp2a72me,6022,4
3jqjydgrxe,48461,10
2nyzvdqlz3,26507,4
365g6bbqkn,4471,8
9ekz89r45e,8509,2
ek8lq5a94e,1197,3
3xa6jxy94e,1458,16
3xvowjjwle,13575,3
e5vy6avj43,908,2
37aro4prj3,10206,1
nm8abox8j3,2010,10
349xkwzv4n,2299,2
eddbq8lgwe,1446,4
3x679lkqk3,7151,4
379zpbawxn,22027,5
39wy8b7apn,33793,1
nb6gpo6qy3,1652,1
edy9kwz54e,5028,2
nb6or8d9a3,356,13
73o8j2zp6n,53442,2
e257ryld6e,3870,3
369ovoao83,2039,1
37b4q75k9e,393,34
34q9d86kpe,14821,2
nbapvrkvye,4829,1
36vx4l2jje,1584,9
er2kklloj3,4317,1
ngqajzb7b3,10171,2
g38ma6g6jn,18177,5
ek4v694dd3,4068,6
nq2kb4maon,86879,5
nmr8qa9dde,189,1
nbdqm88j9e,5207,4
e22v9owzae,47176,4
4e5gb9mwg3,4072,3
3l7mmdq6be,5745,17
3zaqb6yw6n,13461,1
3a5ym64pve,6673,19
37bm2z45we,4455,1
e5g8rmxz93,19063,1
34prvdw9m3,674,5
36ykw9looe,1564,2
ngazylr8bn,3566,1
e2gyj8w8d3,1593,11
3wk845a7y3,6277,17
3884bdwjo3,11913,1
e5zlzqyy9e,8944,8
ngl8lk2xre,219964,3
379a9wwkjn,6492,1
3zd5q6o96n,12108,5
er2bl7q693,4840,2
3j6mdyo9wn,1487,10
37mabvywv3,57949,4
edogo8zzw3,31288,4
nvo4bx47be,32621,6
nyqlbmprl3,1758,19
38jyvo6kon,10361,5
3x6owoapx3,6007,34
39xvl8wky3,550,50
3pqb9z7lke,2974,12
3o4dp6xd9e,843,5
m39gorldye,8778,7
3lrqkp7ry3,1265,50
nvv48bvpqn,1434,1
qnvjo4y82n,6935,27
ek447wd953,3566,3
o3pa79vr93,5040,2
37bb2pgv9e,1407,9
e5pxgxb2o3,2304,3
nbyomr4zme,9309,1
nqdgzpawme,851,22
xerwaw283p,1726,3
ergd998djn,2154,30
3l7777ra7e,18732,7
34xklwwdyn,2299,2
edq9l7xazn,14632,2
83wzjw22z3,2133,1
3wyva76pzn,1358,8
3wkbvvaxy3,9874,10
nq6oyydpk3,3192,5
e2b5mrwq6e,24047,2
3p2zra5kze,729,9
pedz696pgn,2314,5
nvrpw44pxe,3245,50
ek9mkgmq4n,52907,1
nyaq7gk4dn,707,4
37baxvxd9e,3650,50
3jx78kyypn,372,33
nvrq5gk7pe,4164,5
ek7vmzqzr3,4397,1
3xvoyxy24e,10045,30
3w4xmbo2qn,3616,1
nvqb62raq3,2638,8
qe2dvgmm73,1245,5
3z7bp62vwn,28200,7
nqll5qvxm3,541,5
3lpl276jye,5729,1
3jxy8lbron,69389,6
nql2qoxow3,2100,32
e24rpk4jd3,6077,4
e59z6lr8gn,40393,21
38zwvdl953,68882,16
ek2lwrydre,4031,4
3p74rj65k3,2110,12
ngbaa8k8z3,755,1
erdvy9k9jn,3107,3
3az2y6wvve,7155,2
367jl5opke,20897,50
nm4dp7badn,5307,3
3a7a659873,17171,1
83wrj4w8me,5560,5
3zd6872r7n,3059,1
3496yo28jn,164,50
3pmy55b793,1074,1
3lrw5a9ad3,6302,32
39rkz8g5d3,8346,23
3opl6r92ze,1144,3
e5pgjwxab3,8287,2
3l2689dwdn,881,14
3lo79jqqo3,9197,7
3xyo777zke,1193,1
nb6omjqz23,4376,1
er6bxjo45e,25945,2
ng8w8kqqr3,28960,8
x36796wqke,1092,1
ngl7pjpgve,8500,2
e57ywqoo93,6232,27
x3abqvw87e,1649,1
nyabva5zyn,3988,25
nqppgm6woe,4921,5
3jv57xk893,8944,4
3wojmmy8xe,2118,1
3l8zlda27n,3334,2
ny747dwq9n,1723,1
ek9xp58brn,11245,29
nvbpjdl723,1452,1
3xowpglpd3,63099,27
3ok4vzj76n,15274,4
ekb52ryd4e,4890,4
wnmbzlx493,6865,2
nvz8kwrmj3,97893,5
nvzm2lwaj3,7779,13
nyalokq5zn,7787,1
369zj7vo83,23957,1
nv4kw69vxn,10145,3
388mbwxzp3,641,15
nyazjprlyn,38877,11
nyy6dpklln,59475,4
38wlrw7843,610,15
er5p7j4g73,808,5
3p2g9478ze,8765,4
nvv4qv6qxn,157,50
nb72ba2rxe,953,5
3o8rwj6gkn,83594,4
3wwylg2bq3,4943,2
e2gxkp52a3,1985,2
nmm8qrz8kn,833,3
ng6daq6qae,33305,2
3zd875mpwn,885,10
l34642vzjn,6485,4
nmzljrlrk3,1854,3
eryzp9798n,83480,3
3xxpxdoxl3,10052,19
nm9vpprw9e,34606,10
edqjjlyk4n,10606,2
e5paxbq8b3,43,50
3pq2bqlpze,6881,2
ng6ml4yqze,192,50
3az67v66ve,1150,2
38xj666lde,1737,1
ekg9dyakr3,14850,4
3o8247wbgn,1834,23
nvrg6qr9xe,1594,8
ng8mvw58v3,6682,32
nvp5zdp42n,19004,5
nql425mzk3,6597,5
edgxpjyzge,4136,4
3o4odrl89e,42267,24
e2dg6l6ld3,889,1
nqdp7r7zze,8279,22
nqdjpjjbme,24270,2
63xzxy2zkn,30962,25
9ekz96x8ge,15622,4
3757l4qvpe,36956,19
3a9jvzgrvn,5372,1
nm96rz7mde,20296,2
39xqv8wlb3,2531,2
37xoky66jn,58031,5
396avjyxp3,6699,1
3a9j2z84vn,15972,2
nyyb5w9xzn,14275,1
39w7yrwmyn,84495,19
erd865a6jn,784,3
36667gkb93,257,2
nyqalm99z3,6881,5
edo8g6j6z3,12060,10
3a79jy95b3,5005,5
ekg2oo9w23,18814,2
e5mp4r2dr3,12055,2
4ngbpm6qp3,770,17
39lo8oy7g3,47968,4
37vb2pdoj3,25696,1
3a5raj4kbe,9839,1
nmm86d4pkn,38603,3
384rryz55n,5840,11
39l2xozqg3,4365,1
38m2wbvgpn,1945,2
3p74wo7ab3,7892,3
38dkkagodn,2444,3
g38rpwqo5e,6665,2
3xalz8w64e,7451,5
37agyddr93,1879,1
e2594rkv6e,10162,1
379orpvgpn,5817,1
3xxjo7qjd3,27607,8
nmkgdqddx3,4090,3
3j6rrqrp9n,11558,5
