"sku","cost_price","vancouver"
3ar6vgzxdn,7976,2
3jmlqqp9x3,3385,3
382ybj8p53,10718,1
ngoajgrgbe,4286,2
l345aj4peq,14099,1
3o8a9jjoyn,8778,1
38k2b7a7d3,10498,4
ng6jop94be,5474,4
nvbakl5d23,5371,8
edy6zogpwe,20826,1
3lpbjl74ye,1825,3
3jqv4xwb6e,840,9
3ozzm2m66n,1146,5
ed8ymyjwdn,3472,2
edxmwblw23,8818,2
3okmvb5xzn,5728,2
37m2k6xbv3,30036,2
e5pamppm93,8235,1
edyd6b4a2e,20961,1
nvpd8xoj2n,1404,7
xerqgx8k73,9219,1
3wxl55plxe,18242,4
4ng6ay89pe,5707,1
qe2gmamvk3,17382,1
4e5bdk259e,21102,6
83zbqwoz83,6349,1
3lxr5mjlz3,1015,4
nvr2w59jbe,3622,1
3l8xv4prdn,9656,1
3wqxb62qz3,1122,3
ergkvvbbjn,7905,5
ny7b288ozn,11509,3
erg6pbyl9n,8702,1
3l2b6544bn,894,6
346qdp2ljn,115826,1
nv9666rabe,15562,1
3xzdr9kvdn,4244,1
3a9lamybbn,22181,1
23lmjpx87e,3059,1
er645qv29e,9637,2
e2bkyd8d6e,3444,1
3724kqyjje,4206,7
38m9gl8zpn,15240,1
nvqxmpv5p3,3173,3
l34bbkgxme,9219,3
3p7dpm5gb3,3098,5
3l2obo5d7n,14974,1
nyx89qwv9e,6040,1
369pyy69o3,3114,3
3a77xm5lm3,2826,1
e5p8o67r93,10451,1
ng8rkz6ab3,4494,3
38dvg8q6pn,12374,4
3wybk64pbn,12593,1
eko6l8j5gn,988,3
39jjk6wmge,886,5
e2mab54gd3,6737,4
nvbypxg6p3,13394,1
3jqorabbpe,1168,2
ng9qr9dqve,11561,1
37mwrklyx3,372,4
3pmqy8lvk3,9115,6
83zv5dk28n,18522,1
3oljlby2y3,13316,3
34k9wa88ke,17250,1
372kdjbj9e,6664,2
e2m7r2rra3,7851,3
34x9mdga4n,4147,5
3lm9al9poe,18194,2
rnqpb9bgke,14721,3
e258pxd4ke,7645,6
3z7lrkxjwn,8478,1
3xopozk6p3,5674,1
83z47v7wn4,4412,2
e2a6qdj8k3,796,2
3zd9kqdr7n,2926,3
ekbzbw662e,17309,3
nb4qqjyg9e,11516,1
3axv77z9mn,7305,2
3p2758qwke,4562,4
nbybkb75ye,6714,2
3xy4gr7zle,3270,7
3zxadjwoje,18648,1
nqd9y7ayoe,1064,3
ng9r75g7ae,14261,2
3zx26kvx4e,13883,2
374om99bv3,3851,2
3xy55r6w4e,6363,2
er5xkmkw83,3367,5
3xqaaj6mkn,8150,1
3obgkw6p9n,3654,7
3xxkqz8zx3,3426,2
3ww967dkq3,28698,1
e5pqy5xgr3,1363,2
nvvmrqox2n,4645,10
3ax75442dn,11011,1
erbg8jmx93,13766,1
38kkxkd2j3,13354,4
nvz72dy423,9015,8
3675loqa8e,5029,7
36v7agjmje,11519,1
3746jy4op3,3624,1
4ngk7g6zr3,11074,2
3wodxx5mqe,8165,1
36pdp9j2je,4865,5
erqmw2kx83,5011,1
3wopry86xe,9280,2
73ojmjgp6e,1322,2
nvqwqq8kj3,15787,1
nvzaqzdaj3,1919,7
34kq96ak4e,4527,2
nv9924xk2e,7959,1
346yjblmmn,4331,2
3z76kapa6n,9217,2
34g2m4bmp3,4888,2
nyrqq2jkye,6221,2
nyddl8rzln,1992,5
3jrrpzmxon,8786,1
er2k4kox83,27002,1
ergmrmy77n,22999,2
e2jb5j8o63,26944,1
39grl47m7e,17099,6
e52pwk864e,3033,1
nvrdarq9be,19767,2
3oo9bjx763,15958,3
3pg8bg7xz3,2280,5
nyrmrdqzle,13971,4
39rd96lzg3,9362,2
38wvlpx6d3,8840,2
nydw5r99zn,13778,2
ekgmx9qj53,27158,1
ek97624w4n,1508,2
3j77byvbx3,13561,1
3lrpk66wz3,8649,1
ekbrvd4zde,12681,1
nb8mwlxkmn,882,2
nvo9ypqyqe,1322,3
g38jbo7o5n,3685,1
39zjxyd2dn,25376,2
e2gag2abj3,12253,5
3j89oo85xe,6470,1
3pkyo464ge,5988,1
37rwrzpgxn,6010,7
e24w8kgjj3,8780,1
3zxmmygawe,12374,6
346z8vkw4n,9248,2
erbkljlqj3,5066,2
36v4p85a9e,2377,1
34jbka6vp3,1334,6
ek9l2o8v5n,2972,1
3z72j5gzwn,5473,5
3p2yy8v8ke,17668,1
e5zov6kp9e,15538,2
ekqp8b7o2e,4114,1
3lbwrdpgdn,3390,8
e5zvokrq4e,1019,6
nykyd95gz3,322,2
34ggxb9zm3,17544,1
eko6pmzrdn,8315,14
ngorog9zze,29972,3
3ol56plqz3,10213,2
3jqwkay8we,22962,2
34jwvvgap3,29518,2
3w7dbo9bmn,6756,4
23lq65bvzn,560,3
3z7aa6lo4n,1622,2
nya4dq5kln,2651,14
38dql2dv5n,5047,1
3woxzyqzme,21436,2
ekgyq2r2g3,10549,1
x36pv79o9e,5870,3
3l7mkgv8oe,8400,19
erqmklwr93,798,6
e5vgzzpor3,7698,3
37blg28awe,8739,1
3jvwd8qoo3,3143,1
3a7d62rpb3,4057,4
nyqxyaamy3,668,1
