"sku","net_price","Monteral"
nyr6b85rde,3790,50
g38l48wloe,8080,50
38mb8l45dn,4195,50
ekz4ro4ore,26725,50
nmzyqgx8v3,7598,50
e5pr2vbzo3,12469,50
3l7xxala7e,12469,50
nydwba8wyn,103950,50
3oy5g4bb9e,87318,50
e2aqwzja73,16195,50
34p4mx8mm3,56680,50
nm2mjzk5d3,93080,50
3p9xx722bn,11281,50
3pylljma83,11281,50
wnmkw8pj93,21859,50
3wyq95lrxn,21859,50
3l6462ykd3,21859,50
3a9y77odbn,102060,50
e2474awv73,20515,50
m39vxqw9de,19995,50
ng6vyjo2ze,5341,50
ek4q8xgg23,6529,50
3zrjba8d7e,4984,50
3zddjbx7jn,7598,50
qe2rvk7van,7123,50
39rdq949d3,2608,50
3xxrx9a6p3,2608,50
nyqq9kb7z3,6995,50
edgqbml2we,9184,50
e2myd424j3,4037,50
3xzm26x8kn,49995,50
38jjmbz4dn,9995,50
nvvgxxm9qn,5739,50
e2ogba9k6n,23995,50
qe2qpq2y6e,19369,50
ngvmxyl5bn,14995,50
3l74y8gmoe,8295,50
nyxm7mpdye,2695,50
e5pgwqzjr3,2895,50
3zrbjjoawe,2895,50
38jllox6pn,2995,50
nb7dp97wxe,2995,50
