shipment_id,sku,part_description,manufacturer,part_number,price,quantity
shp_ef952afc0316406bb1088708840b5957,x3a8k26dde,Double Platinum Plug,BOSCH,8115,FALSE,6
shp_ef96aa341b794954be316c77142f9587,38z772ok43,Direct Fit Muffler,WALKER USA,18833,FALSE,1
shp_ef988a9e813c43f584fdfc6ae38d5ada,375gq52zpe,Exhaust Gasket,WALKER USA,31314,FALSE,1
shp_ef999ddd22bf4f78a42de111c79f4505,nggq6y9kan,Radiator,SPECTRA PREMIUM INDUSTRIES,CU2868,FALSE,1
shp_ef9bc4243dd5419886ec4b0ca47a2454,39bw8mjbdn,Exhaust Manifold,DORMAN (OE SOLUTIONS),674-694,FALSE,1
shp_ef9bd1f08f5545058a5a60146e369fdc,nbmyo8gl2e,Front Premium Rotor,AUTO EXTRA,80-980115,FALSE,2
shp_efa6a3f33b474f5fbe30cf2fde2ccb88,nq6mxpvrk3,Rear Brake Drum,AUTO EXTRA,80-2963,FALSE,2
shp_efa702faf1ff41009c2c016c816b8d5d,366oylzxo3,Power Steering Return Hose,EDELMANN,92378,FALSE,1
shp_efa702faf1ff41009c2c016c816b8d5d,38w65yvyj3,Power Steering Pressure Hose,EDELMANN,92472,FALSE,1
shp_efa702faf1ff41009c2c016c816b8d5d,er76jmpz7n,Power Steering Return Hose,EDELMANN,71206,FALSE,1
shp_efaa5d45e26743bba6fe797c58cc8d72,3orokgk8k3,Sway Bar Link Or Kit,MOOG,K90360,FALSE,2
shp_efaa5d45e26743bba6fe797c58cc8d72,3wxg6z86xe,Sway Bar Link Or Kit,MOOG,K90358,FALSE,2
shp_eface9fcee4a4d6aaff7a52accc4bc72,3olvgxwrz3,Resonator And Pipe Assembly,WALKER USA,53686,FALSE,1
shp_efaead5b56c147228e8a40c3e0e91d30,nyd855j8yn,Control Arm With Ball Joint,MEVOTECH ORIGINAL GRADE,GS30106,FALSE,1
shp_efb67b0cc780498fbdc5835e9d743e30,nmobbqgyde,Rear Premium Rotor,AUTO EXTRA,80-980783,FALSE,2
shp_efb693073a52462dbe536705aec8a009,nyxmo6lm9e,Platinum Plug,NGK CANADA,3186,FALSE,8
shp_efb7a68aeddd4623b173e5cf1fd3917a,m39d9yxpbe,Electric Fuel Pump,SPECTRA PREMIUM INDUSTRIES,SP1134,FALSE,1
shp_efb8ba52fefa45d792b063316dc65c3d,er5yrk4l73,Rear Hub Assembly,AUTO EXTRA,127BR930691,FALSE,1
shp_efba5f1bb1dc4589b8ff7707d14d8b9c,3zxwbvzb6e,Front Complete Strut Assembly,MONROE/EXPERT SERIES,181615,FALSE,2
shp_efbbe5a00d1b4950938c5236605a445e,nyr2xmkjze,Front Quick Strut Assembly,MONROE/EXPERT SERIES,172287,FALSE,1
