"sku","cost_price","Edmonton"
3lxy26pa73,7238,0
3pybgwkrb3,2517,4
nvk97yzxj3,10399,1
nmkxyd6md3,6413,1
ng96v55oze,3832,11
er5qb8pj73,232,4
3ayxvdpom3,17430,2
nm2pdza8d3,625,0
38wxkg8qp3,5682,0
367mwv6qoe,3592,4
394yx498pe,6619,1
ek8goy2r2e,3682,0
3aqpllr28e,4234,1
x366g7rg83,1528,7
ng85y6w8r3,34408,0
37ryj8g8xn,7795,1
nqq57m9pkn,640,0
nvk28vjap3,10696,1
3698lw87x3,791,3
3w4w2l8jmn,631,14
3j786qlmx3,723,0
nyky9waoy3,2451,4
3pxbwq27bn,13947,0
ekqjlqkl5e,9779,1
3676kpkg9e,21767,3
nvpp9v492n,3054,0
3jm9plq2w3,7474,0
3ayprjvzb3,1791,0
3p2vmd4pbe,5478,1
ngazw8rapn,11487,1
3jvj2oawx3,5031,1
3a8zqvxdme,4027,0
83wx2mllye,842,35
e5ldkmj2on,8607,1
39gad7ywye,201,5
erax86pj8n,135,1
3l2jqdxl7n,4781,1
ergwvb455n,3081,1
362477rz8n,1503,1
39lgywjp73,2616,0
nqal4ok6we,20065,3
3jx5ar8pon,4430,2
3wv8a2arqn,1457,1
nyx7bzjyle,4265,0
ekobr8yk4n,10491,2
er4dxx4d7n,16015,0
4e5dk8dlr3,14804,0
3wl6y65oye,7063,0
ng966ywmbe,1942,4
edgv98zwze,8003,1
3jzzq9rvpe,2823,2
4e5rwgg4nr,4738,1
nqa2ldgxke,9365,0
3pyo9mgjg3,2081,2
3948om5oge,2974,1
3wojq6jjxe,3678,1
erg9vxpo5n,2256,1
e5959vx4bn,8001,1
e55gbxpj4e,5038,0
3a9rq4x6bn,3762,0
e5lrvz2rrn,874,2
3pm5bmq9b3,1359,1
ek2zx9dd2e,6438,1
3lxdzjwlo3,7041,2
3pkrqq9xke,1180,0
nvz75zklp3,3108,0
ny48ddaodn,2209,3
39xmvadpy3,18000,1
er468dqljn,6654,1
3pkv6x99be,8015,1
edgxb4lqwe,11249,0
3plkazdzbn,5865,0
nm8bw5okx3,5304,1
j3jx2j7wxn,11771,1
nbkajo899n,1830,2
3957ao9wyn,7869,1
3xv7b4o2ke,7009,2
qnvmwpqo2n,8955,5
erd7a2825n,4363,8
3pkv2zyage,192,0
3al62oba7n,10853,1
364qyvbpke,557,3
ngvv7pyvzn,25,20
rnqxvxk4o3,1651,2
3obkll9a6n,13799,2
wnmbx8x9k3,1557,0
nql7vk47w3,2074,0
36pmx4og8e,746,2
nb4x2mjv9e,2613,2
ek9rmj2drn,2366,0
nm97lgjyje,5409,0
37ammaaq93,2945,0
34k2w9da4e,1271,0
3zw247yb43,1788,0
nmkojxayd3,16840,2
39zq524wyn,1909,12
3jz9ww9dxe,5024,1
nby9pl67me,6094,0
nqlp2mzkm3,5288,0
3pq28o6dbe,1830,1
nby4zp7l9e,2339,4
o3pgroqyb3,26348,1
e259wzo9ae,3403,1
nv4ll7lzjn,25970,0
nm9zkzoxxe,7876,0
ery7wyom9n,35,0
e57m49wlr3,9373,1
z3775lvzx3,1786,0
3aq5w2jrme,2807,30
ek8779rjde,875,0
34b7lp88ke,4473,0
36yo7gm7xe,759,1
83wxb56mxe,4236,0
nmow2vyxke,7423,1
3l8998zoyn,2628,20
3j2obrvdxe,3339,2
345a96g2me,944,1
e5pjbrvdg3,8901,0
ekzrmygoge,777,0
3zlob7qg4e,12404,0
nbvym48pme,1279,1
nvpm46mvbn,746,8
eryry6rbln,17049,2
nvo4jbx22e,3824,0
38vgjmlxon,1153,4
3jzgygqyoe,3774,1
nvpv6q5rjn,5046,0
4ng4mo4ran,1799,0
3jvjlarb63,29070,1
39x8j62ld3,8299,1
3p2arok49e,2285,3
394r4w7bye,3465,1
e2o4vlrxan,1439,1
3aq8zxvzme,12320,1
rnqddb78ke,3576,1
3az655rbbe,201,9
nmq8oqgqx3,2348,0
3j6vmd42on,7460,5
39jb24r2ge,526,1
3zglw8a9jn,1872,1
ek4m8qgyr3,17527,1
nmogx4dxxe,1244,0
edk95yygzn,32807,1
382q7ga6p3,9384,0
3px5bwojkn,6928,6
3ozbw7llkn,6807,23
3oogmz8d93,389,30
nbo9j2oya3,3968,2
3za484wmjn,1868,70
edg2g2jv4e,692,1
3xy82pgo4e,26967,0
3jlrab5axn,2700,1
3wqzwwxmq3,7261,2
38xpmqzbje,11343,0
34p8rgzpk3,669,5
3l7kzo9aye,821,9
3956qm6pbn,588,0
nbvygo6dye,3522,1
qe2g9gmy63,577,1
g38x92r25e,3809,8
34p6ymgq43,1408,3
83z48qg7jn,692,1
wnm6vwa7ke,59669,1
ny7x6qmdln,10478,2
3zlkm59lwe,612,1
e2jlvy9zj3,3980,0
3672zjorje,25385,1
edzrypmlwn,6015,0
nb6rlq4w23,3340,1
394977gkge,1699,0
o3p4lo7q93,926,2
3aroq5da7n,1932,0
e576jz6lg3,5639,1
39gpaavm7e,13478,0
nb8vzplbyn,603,0
e2559dowje,4440,1
ng8paazqa3,300,5
