"sku","cost","Montreal"
3zgjy5zb7n,9954,0
3lar4mkrze,794,4
ek8rdlr9re,7376,0
3zdgjg62jn,36608,6
3o2859g7gn,11466,18
3xrbl888d3,1279,3
nbk7xzvb2n,2335,4
346ozz2dkn,6765,6
nm2amyrq93,3930,3
38276pj5j3,1506,9
nbmq98r6me,7131,2
ngvgld56pn,7389,16
3j8wrzyqxe,5240,11
3obypkz8gn,925,3
38v6264y5n,7303,50
nykd44wyg3,4112,2
3ozodkgokn,47968,1
3zzrovgz63,40097,1
nv929xmqbe,36092,2
395zjpr2dn,18828,2
qnvj8x9lxn,7150,50
3lapjmldde,58375,1
3zd5ml658n,94,36
3oyqrgv9ze,1062,14
ekq7r7x7re,4013,11
3zzkzaxa43,6192,16
nyddl9zzzn,3566,3
3ooqamr8z3,10506,4
3w4x2w4zzn,27984,2
e5pypy2qb3,1849,0
nmmlg5dmdn,47638,1
nvow4j562e,12390,6
3jxzzbzpon,9041,2
3xrkogjrl3,5885,0
36y5k6mpje,5494,8
3wvxlzj9yn,1175,28
3j6g9jokpn,2088,5
nqp8pp92ze,25791,0
nq8qg5b6mn,57082,6
3469499q4n,81300,1
368x6zr2on,5941,1
3zlx5d2q4e,25531,1
3p2mbab69e,2746,0
3plb8y4zkn,6525,8
3loyq6oab3,296,13
3o84omwjzn,14184,1
366mdl69o3,20176,1
z376qwrk9n,44806,9
36p28b9vke,158,0
ek7bxw5y23,39838,2
39w5j794dn,1078,1
e5bp6wzzge,7451,1
34k594myje,7131,0
nb8va5692n,366,2
362oypadjn,1551,10
34p7gmodk3,13120,0
3al7ldrv8n,4740,2
ekyzwqog23,636,8
3ax8x566vn,7342,4
3zdllj9q4n,45442,7
38wvyjzvj3,17901,2
369zbw4do3,4136,3
3lml8dqdze,10160,14
4e5pw8rrr3,6774,2
nyr9vdpjye,7561,1
nqz99jdwzn,106981,1
ng89l92zb3,972,2
nmkxabz8x3,12125,2
ngbzqbd7z3,5921,42
3wow8kwjxe,14434,1
edkzaolxdn,49197,6
ekz247o64e,11407,1
39jmgdgmde,4317,0
3pkmwbro9e,9101,21
nydz5o64zn,5322,5
3okg4aopkn,228,6
3j857mjjoe,10380,0
3xvgojllle,849,23
ek9jo9a8rn,29265,50
wnmzrvlj34,5852,31
pedd2r472e,1920,17
3zko6vlr73,41098,2
nvpmm8vojn,49457,3
369292woo3,18850,5
37xpardbxn,35800,2
nvbqmg5yq3,6192,50
ekbzzzz4de,63099,2
4e565q5qgn,17481,2
e2ovy2y86n,5052,0
ery7l78v9n,9954,22
ngb6l887p3,25831,2
nvvv424dpn,8222,8
36p7qz4moe,5703,4
ny447d6kgn,38634,1
3wq24g2ax3,46568,2
382lyl2v43,29117,0
j3j7am9763,347,3
38d5ywaq4n,4273,10
nglrwky8re,12508,1
nyy4d5qoyn,4766,2
3wvlj6plxn,21981,1
83worry9ze,9162,4
3oor6dwz63,551,20
nm9bkd4ode,22723,0
eddykraxge,1828,6
ngo6zzzpze,6433,0
3l7vzgl5oe,7671,3
nvrx4mv2xe,382,1
nmqad2joj3,17429,1
edyxjx572e,1150,21
38m296wldn,3454,1
3xr5w62rp3,1238,2
rnqa8rp66e,5792,3
3wq7yg9az3,2370,40
3al9jbxw7n,12283,3
nq246akr6n,19768,8
ng8d4xwxa3,110497,2
nmkrkdlvx3,993,1
367mmzlm9e,2281,0
38kdjlgpp3,70430,3
nmrxryamxe,11704,2
j3jmd8jz93,6711,1
3zwyp4bj73,14219,1
38vyqywqjn,3254,17
3ww9kw9kb3,20954,1
37m9lvwvx3,3850,1
3lab8wvwye,4647,14
3oyg6k886e,11509,2
39gpvgm8ye,63773,1
nyk2o6pjg3,60769,0
3xvaod544e,4594,3
ng8k2x5zz3,4146,2
nbajxgdq9e,104,50
3jv679oz63,17933,2
3aqzzmrzde,8889,15
3zw8v7do63,964,9
34bdvzwope,10223,5
xer6pbzb9e,11681,0
3ozxpy2q9n,29487,0
ekzd6axw5e,562,2
3l2akly47n,33799,1
ngv2al8lpn,2386,2
nvkkrqp2j3,13900,5
38dv2yjldn,1051,1
3jlzz75xxn,302,20
38dvz75dpn,11817,1
nmo78pv9xe,4972,6
nvpwo72ojn,20200,2
ek7opbom53,7868,0
384w6vzypn,1197,1
xer8rzzr83,6682,8
34xp967zpn,6024,1
ek8rgq6mge,6921,1
3ay2zvrgb3,833,2
372oda4gwe,10994,1
3p9yp5q49n,104,22
nvpa7gx5qn,101411,1
38wd2qo5p3,8532,2
ekbdb6kj4e,41587,4
edpolo9z4e,5962,0
37bkglpkpe,49591,2
ngv4zxwqzn,28654,13
3l2a7wrlbn,13035,0
3zzjmp5d43,1183,2
3py97jyj83,8222,3
36vl4pry8e,3574,17
38vjylam4n,393,10
e5pol4r8o3,228,6
ekqr5pkgge,3323,1
edx8owlqz3,12525,4
3olldvk993,4160,1
3za695go7n,5290,2
nvqop9jp23,1633,13
2nyvgb69dn,8920,8
374yp7gjw3,9623,1
nyrd5zxrde,1202,5
o3ppldyz83,31404,0
ekq5zgm8de,2974,15
3ob8695g6n,2674,18
nboprd6jm3,31507,1
37x7gm8mwn,5554,7
e57k6y7g43,361,13
erdwgl7x7n,18732,5
3paqrlzpb3,3939,0
3826kg2gp3,4763,2
3o4jj525ge,3421,1
nvoklwa5je,156,19
3lbxzzgp7n,1219,4
nbyd7koq9e,10162,5
382jmpjmd3,68758,1
m39ggr4rye,12082,2
nqymaaqvoe,478,1
36pljkj6xe,5240,29
3xr2poqvl3,21993,1
edd628o22e,8260,8
pedjj275we,19432,2
edkaqd7w4n,8889,16
m3992y5qd3,6898,11
ed7vw7zr4e,2778,13
z375zpvowe,1557,2
3a72ddgv73,13333,0
er7zw6jo7n,50348,22
nq8qvxqqzn,74435,3
nb4x8zg29e,30348,17
3plwv77x9n,942,4
nqammwx6we,10171,2
ed8by7892n,2838,1
nmq8ygbpv3,901,13
3lrpjz9qz3,5852,14
34kp2a72me,6022,2
3jqjydgrxe,48461,2
2nyzvdqlz3,26507,0
365g6bbqkn,4471,1
9ekz89r45e,8509,2
ek8lq5a94e,1197,1
3xa6jxy94e,1458,4
3xvowjjwle,13575,3
e5vy6avj43,908,2
37aro4prj3,10206,1
nm8abox8j3,2010,2
349xkwzv4n,2299,2
eddbq8lgwe,1446,4
3x679lkqk3,7151,0
379zpbawxn,22027,0
39wy8b7apn,33793,0
nb6gpo6qy3,1652,1
edy9kwz54e,5028,2
nb6or8d9a3,356,0
73o8j2zp6n,53442,1
e257ryld6e,3870,1
369ovoao83,2039,1
37b4q75k9e,393,0
34q9d86kpe,14821,2
nbapvrkvye,4829,1
36vx4l2jje,1584,9
er2kklloj3,4317,0
ngqajzb7b3,10171,1
g38ma6g6jn,18177,4
ek4v694dd3,4068,6
nq2kb4maon,86879,0
nmr8qa9dde,189,1
nbdqm88j9e,5207,0
e22v9owzae,47176,2
4e5gb9mwg3,4072,3
3l7mmdq6be,5745,9
3zaqb6yw6n,13461,0
3a5ym64pve,6673,15
37bm2z45we,4455,1
e5g8rmxz93,19063,1
34prvdw9m3,674,5
36ykw9looe,1564,2
ngazylr8bn,3566,1
e2gyj8w8d3,1593,11
3wk845a7y3,6277,3
3884bdwjo3,11913,1
e5zlzqyy9e,8944,8
ngl8lk2xre,219964,3
379a9wwkjn,6492,1
3zd5q6o96n,12108,2
er2bl7q693,4840,2
3j6mdyo9wn,1487,3
37mabvywv3,57949,2
edogo8zzw3,31288,4
nvo4bx47be,32621,0
nyqlbmprl3,1758,12
38jyvo6kon,10361,0
3x6owoapx3,6007,9
39xvl8wky3,550,50
3pqb9z7lke,2974,0
3o4dp6xd9e,843,2
m39gorldye,8778,3
3lrqkp7ry3,1265,50
nvv48bvpqn,1434,1
qnvjo4y82n,6935,15
ek447wd953,3566,1
o3pa79vr93,5040,2
37bb2pgv9e,1407,7
e5pxgxb2o3,2304,1
nbyomr4zme,9309,1
nqdgzpawme,851,19
xerwaw283p,1726,1
ergd998djn,2154,6
3l7777ra7e,18732,3
34xklwwdyn,2299,2
edq9l7xazn,14632,2
83wzjw22z3,2133,1
3wyva76pzn,1358,8
3wkbvvaxy3,9874,0
nq6oyydpk3,3192,5
e2b5mrwq6e,24047,2
3p2zra5kze,729,4
pedz696pgn,2314,3
nvrpw44pxe,3245,50
ek9mkgmq4n,52907,1
nyaq7gk4dn,707,4
37baxvxd9e,3650,13
3jx78kyypn,372,33
nvrq5gk7pe,4164,1
ek7vmzqzr3,4397,0
3xvoyxy24e,10045,15
3w4xmbo2qn,3616,1
nvqb62raq3,2638,4
qe2dvgmm73,1245,5
3z7bp62vwn,28200,0
nqll5qvxm3,541,5
3lpl276jye,5729,1
3jxy8lbron,69389,1
nql2qoxow3,2100,7
e24rpk4jd3,6077,0
e59z6lr8gn,40393,5
38zwvdl953,68882,2
ek2lwrydre,4031,4
3p74rj65k3,2110,0
ngbaa8k8z3,755,0
erdvy9k9jn,3107,3
3az2y6wvve,7155,2
367jl5opke,20897,23
nm4dp7badn,5307,2
3a7a659873,17171,1
83wrj4w8me,5560,1
3zd6872r7n,3059,1
3496yo28jn,164,50
3pmy55b793,1074,1
3lrw5a9ad3,6302,9
39rkz8g5d3,8346,7
3opl6r92ze,1144,3
e5pgjwxab3,8287,1
3l2689dwdn,881,10
3lo79jqqo3,9197,4
3xyo777zke,1193,1
nb6omjqz23,4376,1
er6bxjo45e,25945,2
ng8w8kqqr3,28960,1
x36796wqke,1092,1
ngl7pjpgve,8500,0
e57ywqoo93,6232,9
x3abqvw87e,1649,1
nyabva5zyn,3988,9
nqppgm6woe,4921,5
3jv57xk893,8944,3
3wojmmy8xe,2118,0
3l8zlda27n,3334,0
ny747dwq9n,1723,1
ek9xp58brn,11245,3
nvbpjdl723,1452,0
3xowpglpd3,63099,7
3ok4vzj76n,15274,1
ekb52ryd4e,4890,2
wnmbzlx493,6865,0
nvz8kwrmj3,97893,1
nvzm2lwaj3,7779,6
nyalokq5zn,7787,1
369zj7vo83,23957,1
nv4kw69vxn,10145,1
388mbwxzp3,641,7
nyazjprlyn,38877,3
nyy6dpklln,59475,2
38wlrw7843,610,15
er5p7j4g73,808,5
3p2g9478ze,8765,3
nvv4qv6qxn,157,50
nb72ba2rxe,953,3
3o8rwj6gkn,83594,2
3wwylg2bq3,4943,0
e2gxkp52a3,1985,2
nmm8qrz8kn,833,3
ng6daq6qae,33305,1
3zd875mpwn,885,10
l34642vzjn,6485,3
