"sku","cost_price","halifax"
83zdzvokjn,1560,4
3a57bo4qbe,7496,0
ed8z8qkg2n,11031,4
73omoklmke,1381,1
37v6x67zj3,2959,1
36yk25q4ke,4824,2
3j6qovgmwn,4127,0
x3ao98gmvn,2823,0
nm4orgzmjn,11444,0
34bq8moxke,5754,1
nq85g58w6n,2560,2
nmk4gyw9j3,1047,0
e55zg2py4e,2054,0
3xvlkzll4e,1183,2
nvol687aqe,1203,1
3ayybgdyd3,7573,2
3zlkbrzp7e,5919,0
e5la27gabn,1973,0
3x6v6g6zd3,6186,0
3492agb7yn,4350,0
3xlm5dymk3,6034,0
23ldyg86be,33615,2
3jlp2l6r6n,11106,1
38zdky59o3,15121,2
z37dk44ov3,8818,2
e5za8y8w9e,1401,3
er25gr2683,12337,2
34x5p9j8jn,11412,0
3jrr8x82on,2744,1
nyavwxr4dn,1434,1
379vagbpwn,1293,0
o3p4oa49g3,9059,1
3lr475ml73,2847,1
rnqpovjwze,819,0
nvra25rl2e,26675,0
nmkvwplw93,2270,0
394vywjvbe,1592,0
367zap62oe,7639,0
nqlprqbxm3,9147,1
38jzkrw2pn,1298,0
3l2ml965bn,7955,0
3pmoabpmg3,4689,0
nvyzpqv8xn,1953,0
nb4rqab6me,10327,0
ek4pyz7a43,36544,0
m39mdog8pe,8959,0
xervop9jnp,1388,0
ek2j22ow5e,13233,0
34p8kkvgp3,5423,1
3z78qz7m4n,19239,0
nmqryy8mj3,1371,0
nq28bdplon,7271,2
nb7xdyvxme,3900,0
rnqy7964me,2112,0
e2vkokmw63,1319,1
ergbxxvl5n,667,1
3a7pzpqdm3,1542,1
ekzmmjb95e,2347,1
4ngdymzzvn,7764,2
3j7ll77l93,2169,1
379z4qa8wn,10741,0
erbyyplq93,5865,2
36pyod8rke,892,1
ekzbrgm8de,7589,0
nyqlaazdl3,5658,0
er5a5r4993,6588,0
83wqdmobz3,8635,3
nqaq8pamme,3146,6
nyrd4yvzze,95,0
e2vzqmgw63,1422,2
34kp648zpe,2348,0
z37yvab8v3,16174,0
wnbwpxrgxn,16770,0
349bzl6yjn,617,0
3lblw7q7zn,4751,1
3pxld2mmkn,2285,1
