"sku","cost_price","montreal"
nmkbdqyqx3,457,1
e5p8kpg843,185,288
3j2bx25x9e,903,0
38mz2l2ron,943,0
3l7v6g86be,8629,2
e594byd89n,4736,0
nyyd5w9qdn,3049,11
nql68vy963,2438,2
qe2pz25z63,9559,0
3zk86w8973,5435,1
ny7ojmwqdn,1434,0
nm2j847xv3,1570,4
xerg2dy87n,1265,0
ngq22odrb3,2017,3
4ng6omg4ze,9521,1
er6g6x668e,4105,5
eryq6xv8ln,1259,0
nbkajo899n,1830,0
e59a6vaa9n,2820,3
er6ljqyr9e,2182,3
ngbl56b2a3,998,0
m39md9kdde,3495,2
e5g57xlyr3,3888,0
83zl5qx2we,2155,3
nvq2rom9j3,1216,6
nqlaz29mw3,25115,12
39gdrx7vye,1549,4
e2blrqaa7e,7981,0
34x5mygljn,4051,9
nyxjl8gvze,19951,3
83w8k5yjm3,1363,0
e227opawde,1860,2
3padkvd6z3,2628,5
3wkkbwv5x3,990,0
nvo2jay7xe,4436,1
ekg66dy253,9311,3
3pxx4krp9n,1054,3
er6ap42x8e,9925,0
34k7blp7pe,9793,14
ekqd4zxxde,1264,0
nmryz545ke,2265,3
368vzg4a8n,966,3
ekqoypbp2e,3985,10
nbvrlma2me,8584,12
3a5pjkwxve,289,0
nyqrwvdjl3,315,1
nyxdgk9q9e,5010,2
nmrgp6l5xe,1193,0
e5lqz8gwgn,146,53
3jv5jxqzw3,5654,1
3jvg4b6ao3,7245,0
j3jgjzdyo3,2749,2
38zyrk7yp3,2500,0
3w4lxxr9bn,1135,1
3xrzvmlzl3,7344,2
e5gb827lo3,2948,6
nyrjkmbg9e,843,1
nb6vqxvwx3,2533,5
eko757gm5n,4534,4
er49a9dy5n,1003,3
73oaxk9kke,2729,0
4ngj2kx7zn,1940,0
3pqxz6pdke,2177,0
3axo9j7vvn,8972,1
ng9wvdkobe,3647,1
xerpq4a48n,2044,2
rnq5qr6zon,4075,0
erqxk82a83,3428,7
3o8km255yn,1225,0
3lx6w68r73,9463,0
4ng8gkglr3,3202,5
erdb69gvjn,1174,0
3oyg6k886e,10722,1
3py4xjka93,8205,0
2ny5prkj93,10444,0
372g5qrzve,2559,21
edxyrakvw3,600,3
nvqqv98zx3,4455,1
34jv9xkjm3,418,0
3jrbmgxqwn,2435,1
37r7a8kgwn,2579,20
37al5yvlv3,862,1
nm85wjjvx3,4524,1
e57myqbmr3,157,5
nqzbg8byzn,3618,0
3xlg4zk4l3,3623,1
nvq9oma8b3,173,250
e2b2w8zpae,2322,0
39g7pbbwpe,1508,1
e2dxz52rd3,758,19
er6yo8gzle,1310,1
er7g62r65n,670,30
nmo7vy8pve,1069,1
39r97a8qg3,528,1
erga2rlajn,833,0
3wwwm46vy3,7455,1
3aqx5mwjve,7705,0
34622wdwyn,2667,0
nb6ao4r293,3307,1
e2gymzm8k3,880,4
er24p7y7j3,8507,1
e5mpwrb993,3830,2
3a8zvyqvbe,146,48
345odwwvye,1571,12
38447q6yjn,882,1
e2bl9wdd6e,3552,0
nvpz7vbrbn,1216,0
nq8wkg65kn,484,0
ed79adjlwe,6134,3
x36pmqm9oe,10194,1
3pqz7rkrze,1385,0
nq2wpay2mn,2376,9
nbk8lyl4xn,3790,3
4e572xywb3,1259,0
nbmwd8p6me,1576,12
34kmow9vye,966,0
3wwyy9o4b3,636,0
nqy4zd2zoe,3717,6
37x8rzrjvn,1907,5
3zrozmrg4e,2447,0
ekbd92m22e,9733,8
3lomaodmo3,2328,23
3jl8w5aaxn,5587,0
nbvo5qwbae,2976,0
3l8jmjd2yn,3721,4
38xzw8924e,984,0
23loarxj73,15000,7
3a95za2xbn,13895,0
3o4o7xyp9e,3564,2
ng896vdxp3,3772,0
x3ajmoj73r,846,0
edyzyy5kge,400,0
3lml28vvye,4183,4
ek8xa952re,885,0
3za9564p8n,3499,1
er5ql5g6j3,3231,2
3744w2ayw3,2624,6
34jrjbq7j3,1544,1
37moblm8w3,1389,2
3pgvpj7593,8454,2
346zyo8apn,1409,1
34j7okz943,2262,2
nyrwb6qple,2178,10
e2m4g5q8a3,8966,3
x365lypk9n,17263,2
34bqly8zje,3805,1
e59yxqw9on,6065,0
39ldq6jj73,8559,1
ny4bg9k6gn,3576,4
ek4pbjl943,8050,1
3l6xzr9xb3,1323,0
3j2og6q8xe,146,53
ng9l8mp6ze,4909,1
37rjq5aqjn,7786,1
36pl5oyvke,3667,0
38zbpyxvd3,5696,8
3x6bymdkp3,1223,0
l34yo665j3,1229,0
3xag79aaxe,622,2
362yxyddon,3892,4
qnvxgj5v2e,1248,146
83wx5zxqxe,3066,1
3j7pp5wl93,3095,1
3orjbdw4g3,3218,0
ngqoxxgvr3,6026,492
38x65a2poe,2884,0
3lbjg7pkdn,11661,2
3xlpzrwal3,929,0
nyaggwkkyn,4120,0
83zr4b86je,2628,2
3zxqb7dd4e,1674,2
ed7bo6qz2e,3027,2
nmo5pplvxe,6358,0
ny4bpql6gn,1252,0
368kyayx9n,12686,0
ngoaqk7dre,1701,300
er58opd883,757,0
3lxgddxbo3,15317,0
36pq6pdkoe,3154,0
3lxv7b5zy3,757,0
3okroy266n,9027,0
nbk6d4mx2n,1126,0
erbgg9g593,814,1
ngvmaz2apn,551,2
3lm4vrxr7e,1676,2
3ay25k7dd3,1106,1
ek8k526lge,974,10
nykgdpldd3,1170,0
3p2654bobe,1153,5
3oobykvwk3,423,2
x3629p5m9n,4099,20
3zgz6wxg4n,281,0
nbdolo6jme,1018,2
3woxp52mze,4855,3
3lxaqadoo3,1328,0
37v2yvkd93,9258,0
nglylzg5be,4850,2
nqp457ojke,1595,2
3xrbov8vl3,7170,5
nby6a4d7ae,5014,0
nq8bjvlmmn,185,130
3oz58oamyn,1231,0
erbz4kwz83,745,370
3jvxoqx663,1786,8
38d77gm9jn,6275,130
375mr7qvve,1376,2
3a8zzlb28e,11708,0
erd2objjjn,14486,7
edx54pbw43,11929,1
o3pavxyzg3,9477,1
eraa7lwwjn,2044,11
edx8mj84w3,45531,0
3wvqomwkqn,1293,1
365xmazj9n,1372,8
nmz68b8jv3,1231,4
x3abjorabe,910,0
edxr7ppv23,9433,1
e5py6vm5r3,1658,1
nyravdrjge,12566,1
nyxj92made,1078,0
eravjjwl9n,10795,2
nmq6d5pkd3,1268,0
o3pgar6993,9787,1
4ngxalqybe,214,4
nb85zk8omn,6424,0
369dm59dj3,407,8
34jzw99gk3,21342,0
3wylo5q4qn,1604,6
3obkk6ggzn,394,222
nv9zbvb22e,2759,0
34qzlgglke,126,1
34qgbd5v4e,1157,0
nqy7aw4ame,4281,1
38v765kk4n,12911,16
3zgvoazjjn,1860,0
38ko6oago3,10521,1
e2mx8b5963,7836,0
ped8mp7x4n,3485,1
edo87v6pg3,7635,1
e5lz295vrn,2651,14
nvoz9x9lbe,2335,0
er59vq6r93,989,2
3pav6lm983,511,1
3xz2rgkjln,3190,0
e22qopzpje,3333,2
34g6ozmoj3,6003,1
34kjzm69ye,3354,0
ng8d9kppa3,4065,2
37vzl2qx93,1645,0
3w7p4w7zzn,1535,119
3zz6bkpg43,5431,0
39r9285rb3,3390,1
nvobr2bz2e,1202,0
ng8dvlyjb3,7193,4
3zk742a583,1649,0
e55rkzbp9e,849,5
edzxwx9j2n,1231,18
3wwx57r4y3,8227,1
nyk856gqg3,812,0
edqy5xxmwn,1601,1
3aq5dp6j8e,2759,0
nq88b4ko6n,819,0
3pyw2m9jz3,4429,3
ed8zpp52dn,348,31
e22zlg947e,990,0
e5mya82r93,11791,2
38xzv4kmde,2494,0
38xvvqy7je,2628,3
x3ama85283,3828,8
nqp27jy9me,477,9
39bwvjozbn,783,2
nvvp64rpbn,2507,0
nmzgbpxzj3,1415,10
73olmzjay3,3554,0
3zz5wgx9j3,3080,4
nm2j9r4ov3,1376,93
3p7dxz5w93,2669,3
nvp5dky6jn,1434,0
3jzwgawk6e,3164,15
3wwpm7g8x3,2421,11
ekz2965lre,5352,2
e57b2llj93,2251,10
e252vdod7e,5093,0
3o82brx66n,458,0
3zwvgr4643,341,1
38w5wq6xd3,4864,1
3z75j84z8n,1507,0
ed7yggap4e,1386,2
nq8vj4ygmn,2878,0
nydjkv69gn,1231,6
34goygp243,1041,0
39b5wd26gn,837,0
e224l2rpke,3626,0
3xrx5jm7x3,1305,5
34j9byvd43,990,0
nm29av2mj3,8978,2
3622vyyqxn,622,2
3pq7avgqge,6056,3
37ryjrl4jn,3791,1
e2agojrya3,351,6
3z75x7bmwn,4846,7
364vxgalke,9191,0
3jvmoov9x3,559,1
37mgg7b9j3,11541,0
3pxr2v2bgn,10093,0
e2b7jwvyje,7684,0
ekqm5k294e,720,0
3a5y8wldbe,767,7
34xoxk9byn,21498,1
nmrd9gprve,16400,2
3orml8qqz3,780,0
j3j7rlpkp3,4655,0
3okrp6yy6n,2589,2
ek4obp7jg3,565,23
nb7rvqk8me,3317,3
367yrryqke,4729,0
3wxjmbxrqe,1018,0
e59k6dgvon,16545,2
nmk75r8x93,3643,1
3olvz69d63,10876,0
er7rzgp4jn,1347,0
nqpjax44ke,636,85
nbyb5o5o9e,15407,0
3l2p7kpddn,957,1
nbdmxjbvxe,2062,2
edg2m6ddze,4487,0
nv9rjwm4pe,2667,0
3j6yqgxwpn,6380,1
39lw95wxg3,580,6
nm44x7z6xn,15201,2
e2bz7v4z6e,5391,0
wnb9rzg293,837,1
ny79gl6z9n,2790,2
nvr9byk5pe,4860,10
o3pgbpgr83,10239,1
3wly96wzxe,2965,0
3ax4lmdrmn,5579,0
eddzp6ob2e,515,15
394m8xjg7e,786,0
nvpokdbzxn,163,0
73okw49qzn,778,0
edyblry42e,8507,0
38d64vwy5n,5275,2
365pdo7axn,2941,4
4ng6bv7xbe,1282,2
3alvq7lobn,328,307
374rx6zbj3,1501,1
3xz86j5v4n,241,0
e2v66xzjd3,949,5
nbo27rmwa3,2198,1
ng98dq8kze,2124,0
ek9m6z7b5n,8212,1
3pq26wbpke,4924,2
34qalko74e,257,134
3ob75zbl6n,3300,49
3zrgmydk8e,2039,1
nq8m92vzkn,5401,3
edovga2qz3,5683,1
nvk2ja4b23,2041,19
3j2ra7lvwe,1645,1
3py2rvdgb3,4267,3
nvbz9zyqj3,1446,4
nbv6ww2yae,1018,0
3pyr5l4xb3,1429,0
3zx4alqz8e,941,0
3jx8v6xp6n,4155,1
63xpd6r9le,836,14
3a5r94dwve,1023,0
3459rvkdke,11817,1
e2gr5xzv63,716,8
63x67969l3,494,15
367myx6qoe,570,35
3x65alwld3,1507,1
3xovrxgap3,9239,13
3w7dwjx2qn,961,6
3jxzwov56n,10512,3
349gkzbjmn,961,0
ed827xwbgn,451,18
ekg65mx6d3,968,1
qe2r8x7pjn,1348,0
edz2jg7wgn,897,31
3a9jk6pvvn,10396,2
34k2o294me,7873,1
3xzvxwxqxn,1987,0
384drgk94n,4251,2
3pgovpr8k3,1259,0
3425kq7mme,268,26
eryzl88gln,885,0
3p7489dp83,5803,1
ekz8ljkxde,2871,1
edqpb725wn,5579,0
e22a6r927e,332,5
3xzyk28yxn,7447,1
3xljjykap3,927,0
3a89yr5jme,9715,1
qnvda7z7bn,1341,5
nvz22zy4p3,323,0
x36227p5on,2483,3
3wxgwxgpme,6396,0
ek8a26a72e,1083,5
e24vk8xz63,8213,1
38wyk482j3,1549,2
edylrqgvde,133,0
e2bzbyzx7e,821,0
nvzabv9xq3,639,19
pedoj42xg3,27459,0
384wjpbq4n,3523,0
e55o46yz9e,8203,3
3ax4vpogbn,746,3
nm4ag9qq9n,921,0
nyy4xowpln,942,0
g38j75gp4n,9215,2
ng9vv6o7ve,328,110
372jzdoqxe,2054,3
e5m7yvdo43,3197,2
38vpokjr5n,2929,0
nqdd7yzvwe,3541,2
3pyr7pmjz3,3012,0
nyk6a9gpy3,1103,26
nvvdrk85qn,15720,1
nv4dp7mb2n,9132,0
nvo22okkqe,974,0
l34v9vjby3,5681,1
345mylw2me,6475,1
nydwdkjwzn,1890,1
nqq5yyo46n,6293,1
3px79rb2gn,4851,0
39jdz966ge,837,1
3458rzqq4e,4249,6
36o2bbalx3,183,15
3z77v2mw6n,915,0
3pm6zvjjg3,1255,0
368mwbz99n,3548,4
382ldgb2o3,1059,0
edg6xr9v4e,4297,1
o3p76oqv83,7651,3
394627vvge,859,5
3wl2x6gzbe,1701,1
ngb8qb5pz3,3320,0
nmdrxajy9n,7700,0
nv47jvgoqn,880,0
nyq7dmkbd3,3154,2
ed7l2q422e,3420,2
3jvr9ryk93,984,2
e222954zje,536,0
39gxzoxxge,819,0
nydgjmpz9n,1665,0
ekggqbggd3,9329,0
4e5zzj2xoe,1083,2
374q7yjjp3,1083,1
3pl8mdzq9n,949,0
edx8j6k8d3,7274,3
nq6jborjz3,8395,0
e5v5b42d93,5884,1
edxko4aqz3,2325,1
